Base ID,Suffix ID,Unique ID,Gender,Transcript
XM25_ARMORY,XM25_ARMORY_FEMALE,XM25_ARMORY_FEMALE_01,female,"Your armoury Ma'am. Should you need weapons, modifications or tactical equipment - I can make the arrangements."
XM25_ARMORY,XM25_ARMORY_MALE,XM25_ARMORY_MALE_01,male,"Your armoury Sir. Should you need weapons, modifications or tactical equipment - I can make the arrangements."
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_FEMALE,XM25_CHAMPAGNE_ARRIVED_FEMALE_01,female,Your champagne is here Ma'am.
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_FEMALE,XM25_CHAMPAGNE_ARRIVED_FEMALE_02,female,"Pardon me, Ma'am. Your champagne awaits you in the kitchen."
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_FEMALE,XM25_CHAMPAGNE_ARRIVED_FEMALE_03,female,There is a bottle of champagne in the kitchen for you Ma'am.
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_FEMALE,XM25_CHAMPAGNE_ARRIVED_FEMALE_04,female,I've had the champagne delivered to the kitchen Ma'am.
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_MALE,XM25_CHAMPAGNE_ARRIVED_MALE_01,male,Your champagne is here Sir.
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_MALE,XM25_CHAMPAGNE_ARRIVED_MALE_02,male,"Pardon me, Sir. Your champagne awaits you in the kitchen."
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_MALE,XM25_CHAMPAGNE_ARRIVED_MALE_03,male,There is a bottle of champagne in the kitchen for you Sir.
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_MALE,XM25_CHAMPAGNE_ARRIVED_MALE_04,male,I've had the champagne delivered to the kitchen Sir.
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_FEMALE,XM25_CHAMPAGNE_ORDERED_FEMALE_01,female,"Of course, Ma'am. I shall send for a bottle immediately."
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_FEMALE,XM25_CHAMPAGNE_ORDERED_FEMALE_02,female,"Naturally, Ma'am. There is a bottle on the way."
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_FEMALE,XM25_CHAMPAGNE_ORDERED_FEMALE_03,female,I shall hand-pick the bottle for you Ma'am.
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_FEMALE,XM25_CHAMPAGNE_ORDERED_FEMALE_04,female,"Celebrating something, Ma'am?"
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_MALE,XM25_CHAMPAGNE_ORDERED_MALE_01,male,"Of course, Sir. I shall send for a bottle immediately."
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_MALE,XM25_CHAMPAGNE_ORDERED_MALE_02,male,"Naturally, Sir. There is a bottle on the way."
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_MALE,XM25_CHAMPAGNE_ORDERED_MALE_03,male,I shall hand-pick the bottle for you Sir.
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_MALE,XM25_CHAMPAGNE_ORDERED_MALE_04,male,"Celebrating something, Sir?"
XM25_CLEAN_PARTY,XM25_CLEAN_PARTY_FEMALE,XM25_CLEAN_PARTY_FEMALE_01,female,"Ah, welcome back Ma'am. The cleaning staff paid us a visit while you were gone."
XM25_CLEAN_PARTY,XM25_CLEAN_PARTY_FEMALE,XM25_CLEAN_PARTY_FEMALE_02,female,Welcome home Ma'am. I arranged the clean-up.
XM25_CLEAN_PARTY,XM25_CLEAN_PARTY_FEMALE,XM25_CLEAN_PARTY_FEMALE_03,female,"Ah, Ma'am. I took the liberty of sending in a cleaning crew following your soiree."
XM25_CLEAN_PARTY,XM25_CLEAN_PARTY_FEMALE,XM25_CLEAN_PARTY_FEMALE_04,female,Welcome back to your exceptionally clean home Ma'am.
