Base ID,Suffix ID,Unique ID,Gender,Transcript
XM25_ARMORY,XM25_ARMORY_FEMALE,XM25_ARMORY_FEMALE_01,female,"Sis, this is an armoury, you need some extra supplies, ammo, or anything, let me know."
XM25_ARMORY,XM25_ARMORY_MALE,XM25_ARMORY_MALE_01,male,"Ey Homie, this is an armoury, you need some extra supplies, ammo, or anything, let me know."
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_FEMALE,XM25_CHAMPAGNE_ARRIVED_FEMALE_01,female,Here's your champagne Sis.
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_FEMALE,XM25_CHAMPAGNE_ARRIVED_FEMALE_02,female,"Ey Gang, your champagne is in the kitchen."
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_FEMALE,XM25_CHAMPAGNE_ARRIVED_FEMALE_03,female,"Sis, your bottle of champagne in the kitchen for you."
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_FEMALE,XM25_CHAMPAGNE_ARRIVED_FEMALE_04,female,I had the champagne delivered to the kitchen Sis.
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_MALE,XM25_CHAMPAGNE_ARRIVED_MALE_01,male,Here's your champagne Bruh.
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_MALE,XM25_CHAMPAGNE_ARRIVED_MALE_02,male,"Ey Gang, we got that champagne in the kitchen."
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_MALE,XM25_CHAMPAGNE_ARRIVED_MALE_03,male,"My Dawg, we got your bottle of champagne in the kitchen for you."
XM25_CHAMPAGNE_ARRIVED,XM25_CHAMPAGNE_ARRIVED_MALE,XM25_CHAMPAGNE_ARRIVED_MALE_04,male,I had the champagne delivered to the kitchen Playa.
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_FEMALE,XM25_CHAMPAGNE_ORDERED_FEMALE_01,female,"Bet, we've got a bottle coming."
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_FEMALE,XM25_CHAMPAGNE_ORDERED_FEMALE_02,female,"No problem, we got a bottle on the way."
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_FEMALE,XM25_CHAMPAGNE_ORDERED_FEMALE_03,female,"That's a easy call, let's get that bottle here."
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_FEMALE,XM25_CHAMPAGNE_ORDERED_FEMALE_04,female,"Oh for sure, what's the occassion?"
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_MALE,XM25_CHAMPAGNE_ORDERED_MALE_01,male,"Bet, we'll got a bottle coming."
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_MALE,XM25_CHAMPAGNE_ORDERED_MALE_02,male,"No problem, there's a bottle on the way."
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_MALE,XM25_CHAMPAGNE_ORDERED_MALE_03,male,"Easy call, let's get that bottle here."
XM25_CHAMPAGNE_ORDERED,XM25_CHAMPAGNE_ORDERED_MALE,XM25_CHAMPAGNE_ORDERED_MALE_04,male,"Oh for sure, what's the occassion?"
XM25_CLEAN_PARTY,XM25_CLEAN_PARTY_FEMALE,XM25_CLEAN_PARTY_FEMALE_01,female,"Hey Sis, I had the place cleaned while you was out."
XM25_CLEAN_PARTY,XM25_CLEAN_PARTY_FEMALE,XM25_CLEAN_PARTY_FEMALE_02,female,"Welcome home Sis, I had the place cleaned for you."
XM25_CLEAN_PARTY,XM25_CLEAN_PARTY_FEMALE,XM25_CLEAN_PARTY_FEMALE_03,female,"What up Queen? I had the staff clean-up. They took care of that naked body in your room too. Haha, just fucking with you. We didn't see a thing."
XM25_CLEAN_PARTY,XM25_CLEAN_PARTY_FEMALE,XM25_CLEAN_PARTY_FEMALE_04,female,"Welcome home Sis, as you can see I had the place cleaned back spotless."
